lake,sampling_timestamp,sample_timestamp,measurement_value,measurement_value_raw,site_name,station_name,depth,value_sign,unit_symbol,method,laboratory,sampling_number,sample_number,rdl,sample_location,sample_type,aluminum_dissolved,aluminum_total_recoverable,calcium_dissolved,calcium_total,copper_dissolved,copper_total_recoverable,lead_dissolved,lead_total_recoverable,nickel_dissolved,nickel_total_recoverable,nitrogen_dissolved,oxygen_biochemical_demand,oxygen_dissolved_percent_saturation,ph,phosphorus_total,phosphorus_total_dissolved,turbidity,vanadium_dissolved,vanadium_total_recoverable
kearl,2022-09-16 07:20:00,2022-09-16 06:20:00,27.2,27.2,KEARL LAKE,KEARL LAKE,0.1,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),22SWE04634,22SWE04634-01,0.4,Centre,DISCRETE SAMPLE (GRAB),,27.2,,,,,,,,,,,,,,,,,
kearl,2000-09-27 12:00:00,2000-09-27 11:00:00,20.3,20.3,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,00SWE04029,00SWE04029,0.003,Centre,EUPHOTIC COMPOSITE,,,20.3,,,,,,,,,,,,,,,,
kearl,2001-09-13 12:00:00,2001-09-13 11:00:00,19.6,19.6,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,01SWE03883,01SWE03883,0.003,Centre,VERTICAL INTEGRATED,,,19.6,,,,,,,,,,,,,,,,
kearl,2002-09-04 12:00:00,2002-09-04 11:00:00,20.6,20.6,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,02SWE03131,02SWE03131,0.003,Centre,DISCRETE SAMPLE (GRAB),,,20.6,,,,,,,,,,,,,,,,
kearl,2003-03-24 12:00:00,2003-03-24 12:00:00,37.8,37.8,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,Alberta Research Council,104242,,0.1,'---,,,,37.8,,,,,,,,,,,,,,,,
kearl,2003-03-24 12:00:00,2003-03-24 12:00:00,41.9,41.9,KEARL LAKE,KEARL LAKE,,'---,mg/l,2577,ETL,104242,,0.5,'---,,,,41.9,,,,,,,,,,,,,,,,
kearl,2003-08-31 12:00:00,2003-08-31 11:00:00,16.9,16.9,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,03SWE02484,03SWE02484,0.003,Centre,DISCRETE SAMPLE (GRAB),,,16.9,,,,,,,,,,,,,,,,
kearl,2004-06-17 14:30:00,2004-06-17 13:30:00,15.1,15.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,04SWE01029,04SWE01030,0.003,Centre,DISCRETE SAMPLE (GRAB),,,15.1,,,,,,,,,,,,,,,,
kearl,2004-07-14 09:15:00,2004-07-14 08:15:00,16.1,16.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,04SWE01843,04SWE01844,0.003,Centre,DISCRETE SAMPLE (GRAB),,,16.1,,,,,,,,,,,,,,,,
kearl,2004-07-26 12:00:00,2004-07-26 11:00:00,17.4,17.4,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,Alberta Research Council,104239,,0.1,'---,,,,17.4,,,,,,,,,,,,,,,,
kearl,2004-07-26 12:00:00,2004-07-26 11:00:00,17.2,17.2,KEARL LAKE,KEARL LAKE,,'---,mg/l,2577,ETL,104239,,0.5,'---,,,,17.2,,,,,,,,,,,,,,,,
kearl,2004-08-24 15:05:00,2004-08-24 14:05:00,16.6,16.6,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,04SWE02174,04SWE02174,0.003,Centre,SINGLE EUPHOTIC COMPOSITE,,,16.6,,,,,,,,,,,,,,,,
kearl,2004-08-24 15:05:00,2004-08-24 14:05:00,17.8,17.8,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),04SWE02174,04SWE02174,,Centre,SINGLE EUPHOTIC COMPOSITE,,,17.8,,,,,,,,,,,,,,,,
kearl,2004-09-25 13:10:00,2004-09-25 12:10:00,17.2,17.2,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,04SWE03253,04SWE03254,0.003,Centre,SINGLE EUPHOTIC COMPOSITE,,,17.2,,,,,,,,,,,,,,,,
kearl,2005-04-07 08:00:00,2005-04-07 07:00:00,21.6,21.6,KEARL LAKE,KEARL LAKE,1.0,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE01009,05SWE01010,0.003,Centre,DISCRETE SAMPLE (GRAB),,,21.6,,,,,,,,,,,,,,,,
kearl,2005-05-26 12:00:00,2005-05-26 11:00:00,12.4,12.4,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE04399,05SWE04399,0.003,Centre,DISCRETE SAMPLE (GRAB),,,12.4,,,,,,,,,,,,,,,,
kearl,2005-07-13 12:00:00,2005-07-13 11:00:00,18.6,18.6,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE04409,05SWE04409,0.003,Centre,DISCRETE SAMPLE (GRAB),,,18.6,,,,,,,,,,,,,,,,
kearl,2005-07-22 12:00:00,2005-07-22 11:00:00,15.1,15.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,Alberta Research Council,104236,,0.1,'---,,,,15.1,,,,,,,,,,,,,,,,
kearl,2005-07-22 12:00:00,2005-07-22 11:00:00,15.3,15.3,KEARL LAKE,KEARL LAKE,,'---,mg/l,2577,ETL,104236,,0.5,'---,,,,15.3,,,,,,,,,,,,,,,,
kearl,2005-08-30 08:55:00,2005-08-30 07:55:00,27.57,27.57,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE03024,05SWE03025,0.003,Centre,DISCRETE SAMPLE (GRAB),,,27.57,,,,,,,,,,,,,,,,
kearl,2005-09-28 12:00:00,2005-09-28 11:00:00,30.01,30.01,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE04418,05SWE04418,0.003,Centre,DISCRETE SAMPLE (GRAB),,,30.01,,,,,,,,,,,,,,,,
kearl,2006-08-23 12:00:00,2006-08-23 11:00:00,16.38,16.38,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,06SWE03220,06SWE01907,0.003,Centre,DISCRETE SAMPLE (GRAB),,,16.38,,,,,,,,,,,,,,,,
kearl,2006-09-14 12:00:00,2006-09-14 11:00:00,17.8,17.8,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,Alberta Research Council,104233,,0.1,'---,,,,17.8,,,,,,,,,,,,,,,,
kearl,2006-09-14 12:00:00,2006-09-14 11:00:00,20.0,20.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,2577,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",104233,,0.5,'---,,,,20.0,,,,,,,,,,,,,,,,
kearl,2007-08-23 09:45:00,2007-08-23 08:45:00,16.57,16.57,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,07SWE02704,07SWE02704,0.003,Centre,SINGLE EUPHOTIC COMPOSITE,,,16.57,,,,,,,,,,,,,,,,
kearl,2007-08-23 09:45:00,2007-08-23 08:45:00,17.5,17.5,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),07SWE02704,07SWE02704,,Centre,SINGLE EUPHOTIC COMPOSITE,,,17.5,,,,,,,,,,,,,,,,
kearl,2007-09-11 12:00:00,2007-09-11 11:00:00,17.4,17.4,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,Alberta Research Council,104230,,0.1,'---,,,,17.4,,,,,,,,,,,,,,,,
