Sampling Timestamp,Copper Dissolved,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Sample Timestamp
07/10/2014 12:00 PM,0.32,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107509,,0.00008,"'---",,07/10/2014 11:00 AM
08/19/2014 2:30 PM,0.08,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),14SWE02262,14SWE02263,0.08,Centre,SINGLE EUPHOTIC COMPOSITE,08/19/2014 1:30 PM
09/06/2014 12:00 PM,0.47,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107506,,0.00008,"'---",,09/06/2014 11:00 AM
03/03/2015 12:00 PM,0.53,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107512,,0.00008,"'---",,03/03/2015 12:00 PM
08/27/2015 4:30 PM,0.21,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),15SWE05478,15SWE05479,0.08,Centre,SINGLE EUPHOTIC COMPOSITE,08/27/2015 3:30 PM
03/15/2016 12:00 PM,0.43,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112645,,0.00008,"'---",,03/15/2016 11:00 AM
07/19/2016 12:00 PM,0.34,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112441,,0.00008,"'---",,07/19/2016 11:00 AM
08/23/2016 10:30 AM,0.45,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),16SWE08202,16SWE08203,0.08,Centre,SINGLE EUPHOTIC COMPOSITE,08/23/2016 9:30 AM
09/20/2016 12:00 PM,0.49,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112243,,0.00008,"'---",,09/20/2016 11:00 AM
03/14/2017 12:00 PM,0.38,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),111676,,0.00008,"'---",,03/14/2017 11:00 AM
08/23/2017 8:29 AM,0.3,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),17SWE12722,17SWE12723,0.08,Centre,SINGLE EUPHOTIC COMPOSITE,08/23/2017 7:30 AM
09/16/2020 8:00 AM,0.21,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),20SWE10884,20SWE10885,0.08,Centre,SINGLE EUPHOTIC COMPOSITE,09/16/2020 7:00 AM
08/19/2021 3:15 PM,0.2,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),21SWE04629,21SWE04629-01,0.08,Centre,EUPHOTIC COMPOSITE,08/19/2021 2:15 PM
09/14/2022 8:50 AM,0.24,NAMUR LAKE,NAMUR LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),22SWE04613,22SWE04613-01,0.08,Centre,SINGLE EUPHOTIC COMPOSITE,09/14/2022 7:50 AM
