Site Name,Sampling Date,Distance Group,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Mercury Dissolved,Mercury Total,Methyl Mercury,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Kjeldahl Dissolved,Nitrogen Kjeldahl Total,pH,pH (Field),Phosphorus Total,Phosphorus Total Dissolved,Turbidity,Vanadium Total Recoverable,Vanadium Dissolved,OXYGEN BIOCHEMICAL DEMAND,Oxygen Dissolved (Field Meter),Oxygen dissolved % saturation,Unit Symbol,Year
NAMUR LAKE,2007-08-21,Far,0.226,15.1,6.35,6.5,0.29,0.32,0.0154,0.287,,,,0.562,0.598,,0.27,7.05,,0.016,0.004,0.51,0.0897,0.0418,,,,µg/l,2007.0
NAMUR LAKE,2008-08-27,Far,0.467,6.53,6.79,7.1,0.343,0.346,0.0115,0.0183,,,,0.724,0.762,,0.32,6.86,7.56,0.012,0.004,0.32,0.0607,0.0347,,,,µg/l,2008.0
NAMUR LAKE,2009-08-19,Far,1.02,7.62,6.78,6.77,0.287,0.29,0.0073,0.0381,,,,0.574,0.605,,0.32,7.49,6.85,0.013,0.004,0.48,0.0628,0.0538,,,,µg/l,2009.0
NAMUR LAKE,2010-09-03,Far,0.364,6.55,7.01,6.92,0.262,0.265,0.0022,0.234,,,,0.524,0.561,,0.37,7.54,7.19,0.014,0.006,,0.0931,0.0417,,,9.95,µg/l,2010.0
NAMUR LAKE,2011-08-30,Far,1.65,5.46,7.1,6.3,0.305,0.308,0.0097,0.0098,,,,0.548,0.639,,0.37,7.48,7.31,0.01,0.006,0.69,0.0768,0.0689,,,9.14,µg/l,2011.0
NAMUR LAKE,2012-08-30,Far,0.378,32.0,7.17,7.59,0.351,0.669,0.001,0.0209,,0.326,,0.492,0.594,,0.36,7.71,6.6,0.012,0.004,0.64,0.124,0.0591,,,0.4,µg/l,2012.0
NAMUR LAKE,2013-08-26,Far,3.68,10.7,6.92,7.46,0.285,0.288,0.008,0.0129,,0.85,0.021,0.593,0.667,,0.38,7.79,5.68,0.014,0.006,1.53,0.0838,0.0615,,,7.93,µg/l,2013.0
NAMUR LAKE,2014-05-26,Far,,,4.51,,,,,,,,,,,,0.22,7.21,,0.0188,0.0096,,,,2.0,,,mg/l,2014.0
NAMUR LAKE,2014-07-10,Far,2.34,22.2,6.14,6.77,0.32,0.33,0.012,0.012,0.009,0.55,,0.544,0.629,,0.26,7.46,,0.0103,0.0065,,0.14,0.08,2.0,,,µg/l,2014.0
NAMUR LAKE,2014-08-19,Far,1.06,24.5,6.21,6.92,0.08,0.05,0.004,0.003,,0.49,0.016,0.43,0.548,,0.28,7.5,7.16,0.014,0.007,0.71,0.11,0.05,,,6.49,µg/l,2014.0
NAMUR LAKE,2014-09-06,Far,0.55,20.0,6.67,7.01,0.47,0.51,0.007,0.023,0.009,1.71,,0.558,0.663,,0.27,7.61,,0.0214,0.0345,,0.12,0.06,2.0,,,µg/l,2014.0
NAMUR LAKE,2015-03-03,Far,0.13,9.1,7.29,8.3,0.53,0.57,0.004,0.013,0.009,0.39,,0.723,0.826,,0.38,7.06,,0.021,0.0213,,0.08,0.04,2.0,,,µg/l,2015.0
NAMUR LAKE,2015-08-27,Far,0.66,9.5,7.24,7.53,0.21,0.25,0.004,0.015,,0.35,0.01,0.496,0.576,,0.36,7.65,7.37,0.012,0.005,0.58,0.08,0.04,,,9.22,µg/l,2015.0
NAMUR LAKE,2016-03-15,Far,1.94,6.6,9.2,11.2,0.43,0.44,0.006,0.006,0.19,0.28,0.01,0.777,0.92,0.37,0.32,7.52,,0.016,0.01,0.39,0.09,0.05,2.0,,,µg/l,2016.0
NAMUR LAKE,2016-07-19,Far,0.94,18.1,4.94,5.03,0.34,0.34,0.008,0.008,0.4,0.57,0.012,0.69,0.694,0.3,0.31,7.48,,0.011,0.005,0.4,0.1,0.07,,,,µg/l,2016.0
NAMUR LAKE,2016-08-23,Far,0.48,10.5,7.13,7.29,0.45,0.54,0.025,0.925,,0.38,0.01,0.625,0.784,,0.37,7.75,7.58,0.011,0.006,0.88,0.04,0.04,,,8.89,µg/l,2016.0
NAMUR LAKE,2016-09-20,Far,0.73,8.7,7.36,7.5,0.49,0.5,0.012,0.025,0.36,0.37,0.01,0.493,0.592,0.34,0.33,7.44,,0.019,0.011,1.3,0.05,0.03,,,,µg/l,2016.0
NAMUR LAKE,2017-03-14,Far,1.5,41.3,10.6,10.8,0.38,0.57,0.017,0.05,0.65,0.93,0.011,0.75,0.911,0.46,0.5,7.37,,0.028,0.014,0.93,0.1,0.07,,,,µg/l,2017.0
NAMUR LAKE,2017-08-23,Far,0.4,4.6,7.93,7.89,0.3,0.29,0.02,0.017,,0.34,0.01,0.62,0.64,,0.32,7.64,6.55,0.014,0.009,0.315,0.08,0.048,,,8.88,µg/l,2017.0
NAMUR LAKE,2020-09-16,Far,1.3,6.4,6.85,7.02,0.21,0.22,0.02,0.018,,,,0.58,0.6,0.29,0.33,6.27,7.05,0.011,0.005,0.44,0.066,0.044,,92.3,9.3,µg/l,2020.0
NAMUR LAKE,2021-08-19,Far,1.3,7.0,7.0,,0.2,0.21,0.02,0.009,0.36,1.03,0.01,0.61,0.62,0.24,0.36,6.42,7.59,0.012,0.003,0.71,0.097,0.038,,99.8,7.37,µg/l,2021.0
NAMUR LAKE,2022-09-14,Far,0.7,7.7,7.6,,0.24,0.23,0.02,0.01,,,,0.6,0.6,0.27,0.36,6.41,7.47,0.012,0.0072,0.67,0.083,0.068,,92.4,8.62,µg/l,2022.0
