lake,sampling_timestamp,sample_timestamp,measurement_value,measurement_value_raw,site_name,station_name,depth,value_sign,unit_symbol,method,laboratory,sampling_number,sample_number,rdl,sample_location,sample_type,aluminum_dissolved,aluminum_total_recoverable,calcium_dissolved,calcium_total,copper_dissolved,copper_total_recoverable,lead_dissolved,lead_total_recoverable,nickel_dissolved,nickel_total_recoverable,nitrogen_total,oxygen_biochemical_demand,ph,phosphorus_total_dissolved,phosphorus_total,turbidity,vanadium_dissolved,vanadium_total_recoverable
gregoire,2016-09-21 12:00:00,2016-09-21 11:00:00,534.0,534.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112207,,0.0002,'---,,,534.0,,,,,,,,,,,,,,,,
gregoire,2017-03-15 12:00:00,2017-03-15 11:00:00,96.2,96.2,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),111901,,0.0002,'---,,,96.2,,,,,,,,,,,,,,,,
gregoire,2014-05-08 12:00:00,2014-05-08 11:00:00,23.9,23.9,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,3158,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106707,,0.5,'---,,,,23.9,,,,,,,,,,,,,,,
gregoire,2014-07-10 12:00:00,2014-07-10 11:00:00,26.4,26.4,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,3158,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107356,,0.5,'---,,,,26.4,,,,,,,,,,,,,,,
gregoire,2014-07-10 12:00:00,2014-07-10 11:00:00,21.0,21.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107356,,0.03,'---,,,,21.0,,,,,,,,,,,,,,,
gregoire,2014-09-07 12:00:00,2014-09-07 11:00:00,39.7,39.7,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,3158,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107362,,0.5,'---,,,,39.7,,,,,,,,,,,,,,,
gregoire,2014-09-07 12:00:00,2014-09-07 11:00:00,33.6,33.6,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107362,,0.03,'---,,,,33.6,,,,,,,,,,,,,,,
gregoire,2015-03-02 12:00:00,2015-03-02 12:00:00,33.0,33.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,3158,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107359,,0.5,'---,,,,33.0,,,,,,,,,,,,,,,
gregoire,2015-03-02 12:00:00,2015-03-02 12:00:00,29.0,29.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107359,,0.03,'---,,,,29.0,,,,,,,,,,,,,,,
gregoire,2016-03-10 12:00:00,2016-03-10 12:00:00,50.2,50.2,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112660,,0.03,'---,,,,50.2,,,,,,,,,,,,,,,
gregoire,2016-03-10 12:00:00,2016-03-10 12:00:00,64.0,64.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1516,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112660,,0.3,'---,,,,64.0,,,,,,,,,,,,,,,
gregoire,2016-07-20 12:00:00,2016-07-20 11:00:00,28.6,28.6,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112405,,0.03,'---,,,,28.6,,,,,,,,,,,,,,,
gregoire,2016-07-20 12:00:00,2016-07-20 11:00:00,30.0,30.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1516,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112405,,0.3,'---,,,,30.0,,,,,,,,,,,,,,,
gregoire,2016-09-21 12:00:00,2016-09-21 11:00:00,25.5,25.5,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112207,,0.03,'---,,,,25.5,,,,,,,,,,,,,,,
gregoire,2016-09-21 12:00:00,2016-09-21 11:00:00,30.0,30.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1516,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112207,,0.3,'---,,,,30.0,,,,,,,,,,,,,,,
gregoire,2017-03-15 12:00:00,2017-03-15 11:00:00,40.5,40.5,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),111901,,0.03,'---,,,,40.5,,,,,,,,,,,,,,,
gregoire,2017-03-15 12:00:00,2017-03-15 11:00:00,43.0,43.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1516,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",111901,,0.3,'---,,,,43.0,,,,,,,,,,,,,,,
gregoire,2014-07-10 12:00:00,2014-07-10 11:00:00,21.9,21.9,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107356,,0.01,'---,,,,,21.9,,,,,,,,,,,,,,
gregoire,2014-09-07 12:00:00,2014-09-07 11:00:00,33.8,33.8,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107362,,0.01,'---,,,,,33.8,,,,,,,,,,,,,,
gregoire,2015-03-02 12:00:00,2015-03-02 12:00:00,31.0,31.0,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107359,,0.01,'---,,,,,31.0,,,,,,,,,,,,,,
